,Unnamed: 0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
66,66,3,13.0,6,0,0,50.0,4,bowled,2,West Indies,Cuttack,29-Nov-11
67,67,117,154.0,123,14,0,95.12,4,caught,2,West Indies,Visakhapatnam,02-Dec-11
68,68,20,21.0,30,3,0,66.66,4,lbw,2,West Indies,Ahmedabad,05-Dec-11
69,69,23,15.0,11,3,0,209.09,6,not out,1,West Indies,Indore,08-Dec-11
70,70,80,99.0,85,5,0,94.11,5,caught,1,West Indies,Chennai,11-Dec-11
71,71,31,30.0,34,3,0,91.17,3,caught,2,Australia,Melbourne,05-Feb-12
72,72,77,156.0,94,8,1,81.91,3,run out,2,Sri Lanka,Perth,08-Feb-12
73,73,18,41.0,28,1,0,64.28,3,caught,2,Australia,Adelaide,12-Feb-12
74,74,15,32.0,25,1,0,60.0,3,lbw,2,Sri Lanka,Adelaide,14-Feb-12
75,75,12,44.0,25,0,0,48.0,3,caught,2,Australia,Brisbane,19-Feb-12
76,76,66,116.0,83,2,0,79.51,4,caught,2,Sri Lanka,Brisbane,21-Feb-12
77,77,21,36.0,27,2,0,77.77,4,caught,2,Australia,Sydney,26-Feb-12
78,78,133,133.0,86,16,2,154.65,4,not out,2,Sri Lanka,Hobart,28-Feb-12
79,79,108,148.0,120,7,0,90.0,3,caught,1,Sri Lanka,Mirpur,13-Mar-12
80,80,66,126.0,82,5,0,80.48,3,bowled,1,Bangladesh,Mirpur,16-Mar-12
81,81,183,211.0,148,22,1,123.64,3,caught,2,Pakistan,Mirpur,18-Mar-12
82,82,106,158.0,113,9,0,93.8,3,caught,1,Sri Lanka,Hambantota,21-Jul-12
83,83,1,6.0,5,0,0,20.0,3,caught,1,Sri Lanka,Hambantota,24-Jul-12
84,84,38,80.0,65,2,0,58.46,3,caught,2,Sri Lanka,Colombo (RPS),28-Jul-12
85,85,128,187.0,119,12,1,107.56,3,not out,2,Sri Lanka,Colombo (RPS),31-Jul-12
86,86,23,42.0,35,2,0,65.71,3,lbw,1,Sri Lanka,Pallekele,04-Aug-12
87,87,0,9.0,5,0,0,0.0,3,bowled,1,Pakistan,Chennai,30-Dec-12
88,88,6,12.0,9,1,0,66.66,3,caught,2,Pakistan,Eden Gardens,03-Jan-13
89,89,7,25.0,17,1,0,41.17,3,caught,1,Pakistan,Delhi,06-Jan-13
90,90,15,45.0,22,1,0,68.18,3,caught,2,England,Rajkot,11-Jan-13
91,91,37,86.0,54,1,1,68.51,3,caught,1,England,Kochi,15-Jan-13
92,92,77,110.0,79,9,2,97.46,3,not out,2,England,Ranchi,19-Jan-13
93,93,26,44.0,33,3,0,78.78,3,caught,2,England,Mohali,23-Jan-13
94,94,0,1.0,1,0,0,0.0,3,caught,1,England,Dharamsala,27-Jan-13
95,95,31,46.0,41,2,0,75.6,3,caught,1,South Africa,Cardiff,06-Jun-13
96,96,22,18.0,18,4,0,122.22,3,bowled,2,West Indies,The Oval,11-Jun-13
97,97,22,36.0,27,3,0,81.48,3,not out,2,Pakistan,Birmingham,15-Jun-13
98,98,58,80.0,64,4,1,90.62,3,not out,2,Sri Lanka,Cardiff,20-Jun-13
99,99,43,66.0,34,4,1,126.47,3,caught,1,England,Birmingham,23-Jun-13
100,100,11,19.0,21,0,1,52.38,3,caught,1,West Indies,Kingston,30-Jun-13
101,101,2,6.0,5,0,0,40.0,4,caught,2,Sri Lanka,Kingston,02-Jul-13
102,102,102,120.0,83,13,2,122.89,3,caught,1,West Indies,Port of Spain,05-Jul-13
103,103,31,62.0,52,4,0,59.61,3,lbw,1,Sri Lanka,Port of Spain,09-Jul-13
104,104,2,8.0,5,0,0,40.0,3,caught,2,Sri Lanka,Port of Spain,11-Jul-13
105,105,115,133.0,108,13,1,106.48,3,caught,2,Zimbabwe,Harare,24-Jul-13
106,106,14,35.0,18,2,0,77.77,3,caught,1,Zimbabwe,Harare,26-Jul-13
107,107,68,128.0,88,5,1,77.27,3,not out,2,Zimbabwe,Harare,28-Jul-13
108,108,61,121.0,85,6,0,71.76,3,lbw,2,Australia,Pune,13-Oct-13
109,109,100,82.0,52,8,7,192.3,3,not out,2,Australia,Jaipur,16-Oct-13
110,110,68,121.0,73,9,0,93.15,3,caught,1,Australia,Mohali,19-Oct-13
111,111,115,104.0,66,18,1,174.24,3,not out,2,Australia,Nagpur,30-Oct-13
112,112,0,4.0,3,0,0,0.0,3,run out,1,Australia,Bengaluru,02-Nov-13
113,113,86,120.0,84,9,2,102.38,3,caught,2,West Indies,Kochi,21-Nov-13
114,114,99,159.0,100,9,0,99.0,3,caught,1,West Indies,Visakhapatnam,24-Nov-13
115,115,19,19.0,18,3,0,105.55,3,caught,2,West Indies,Kanpur,27-Nov-13
116,116,31,41.0,35,5,0,88.57,3,caught,2,South Africa,Johannesburg,05-Dec-13
117,117,0,7.0,5,0,0,0.0,3,caught,2,South Africa,Durban,08-Dec-13
118,118,123,179.0,111,11,2,110.81,3,caught,2,New Zealand,Napier,19-Jan-14
119,119,78,88.0,65,7,2,120.0,3,caught,2,New Zealand,Hamilton,22-Jan-14
120,120,6,27.0,20,1,0,30.0,3,caught,2,New Zealand,Auckland,25-Jan-14
121,121,2,14.0,10,0,0,20.0,2,caught,1,New Zealand,Hamilton,28-Jan-14
122,122,82,129.0,78,7,3,105.12,3,caught,2,New Zealand,Wellington,31-Jan-14
123,123,136,157.0,122,16,2,111.47,3,bowled,2,Bangladesh,Fatullah,26-Feb-14
124,124,48,66.0,51,4,1,94.11,3,bowled,1,Sri Lanka,Fatullah,28-Feb-14
125,125,5,29.0,11,0,0,45.45,3,caught,1,Pakistan,Mirpur,02-Mar-14
126,126,0,1.0,3,0,0,0.0,3,caught,1,England,Cardiff,27-Aug-14
127,127,40,67.0,50,2,1,80.0,3,caught,2,England,Nottingham,30-Aug-14
128,128,1,9.0,3,0,0,33.33,3,not out,2,England,Birmingham,02-Sep-14
129,129,13,25.0,21,2,0,61.9,3,caught,2,England,Leeds,05-Sep-14
130,130,2,7.0,5,0,0,40.0,3,caught,2,West Indies,Kochi,08-Oct-14
131,131,62,124.0,78,5,0,79.48,4,caught,1,West Indies,Delhi,11-Oct-14
132,132,127,164.0,114,13,3,111.4,3,run out,1,West Indies,Dharamsala,17-Oct-14
133,133,22,34.0,21,2,0,104.76,4,caught,1,Sri Lanka,Cuttack,02-Nov-14
134,134,49,72.88796680497926,44,2,2,111.36,4,caught,2,Sri Lanka,Ahmedabad,06-Nov-14
135,135,53,72.88796680497926,61,4,1,86.88,4,caught,2,Sri Lanka,Hyderabad (Deccan),09-Nov-14
136,136,66,109.0,64,6,0,103.12,4,run out,1,Sri Lanka,Eden Gardens,13-Nov-14
137,137,139,192.0,126,12,3,110.31,4,not out,2,Sri Lanka,Ranchi,16-Nov-14
138,138,9,24.0,16,0,0,56.25,4,caught,1,Australia,Melbourne,18-Jan-15
139,139,4,13.0,8,0,0,50.0,4,caught,1,England,Brisbane,20-Jan-15
140,140,3,8.0,9,0,0,33.33,4,not out,1,Australia,Sydney,26-Jan-15
141,141,8,26.0,19,0,0,42.1,3,caught,1,England,Perth,30-Jan-15
142,142,107,168.0,126,8,0,84.92,3,caught,1,Pakistan,Adelaide,15-Feb-15
143,143,46,106.0,60,3,0,76.66,3,caught,1,South Africa,Melbourne,22-Feb-15
144,144,33,49.0,41,5,0,80.48,3,not out,2,U.A.E.,Perth,28-Feb-15
145,145,33,51.0,36,5,0,91.66,3,caught,2,West Indies,Perth,06-Mar-15
146,146,44,64.0,42,4,1,104.76,3,not out,2,Ireland,Hamilton,10-Mar-15
147,147,38,71.0,48,4,0,79.16,3,bowled,2,Zimbabwe,Auckland,14-Mar-15
148,148,3,6.0,8,0,0,37.5,3,caught,1,Bangladesh,Melbourne,19-Mar-15
149,149,1,11.0,13,0,0,7.69,3,caught,2,Australia,Sydney,26-Mar-15
150,150,1,9.0,4,0,0,25.0,3,caught,2,Bangladesh,Mirpur,18-Jun-15
151,151,23,57.0,27,3,1,85.18,3,lbw,1,Bangladesh,Mirpur,21-Jun-15
152,152,25,55.0,35,1,0,71.42,3,bowled,1,Bangladesh,Mirpur,24-Jun-15
153,153,11,29.0,18,0,0,61.11,4,caught,2,South Africa,Kanpur,11-Oct-15
154,154,12,24.0,18,0,0,66.66,4,run out,1,South Africa,Indore,14-Oct-15
155,155,77,155.0,99,5,0,77.77,3,caught,2,South Africa,Rajkot,18-Oct-15
156,156,138,202.0,140,6,5,98.57,3,caught,1,South Africa,Chennai,22-Oct-15
157,157,7,11.0,6,0,1,116.66,3,caught,2,South Africa,Wankhede,25-Oct-15
158,158,91,148.0,97,9,1,93.81,3,caught,1,Australia,Perth,12-Jan-16
159,159,59,84.0,67,4,0,88.05,3,run out,1,Australia,Brisbane,15-Jan-16
160,160,117,174.0,117,7,2,100.0,3,caught,1,Australia,Melbourne,17-Jan-16
161,161,106,131.0,92,11,1,115.21,3,caught,2,Australia,Canberra,20-Jan-16
